,state/ut,district,year,murder,assault on women,kidnapping and abduction,dacoity,robbery,arson,hurt,prevention of atrocities (poa) act,protection of civil rights (pcr) act,other crimes against scs,total_atrocities
655,west bengal,murshidabad,2001,0,0,0,0,0,0,0,0,0,0,0
656,west bengal,nadia,2001,0,0,0,0,0,0,0,0,0,0,0
657,west bengal,purulia,2001,0,0,0,0,0,0,0,0,0,0,0
658,west bengal,sealdah g.r.p.,2001,0,0,0,0,0,0,0,0,0,0,0
659,west bengal,siliguri g.r.p.,2001,0,0,0,0,0,0,0,0,0,0,0
660,west bengal,uttar dinajpur,2001,0,0,0,0,0,0,0,0,0,0,0
661,a&n islands,andaman,2001,0,0,0,0,0,0,0,0,0,0,0
662,a&n islands,nicobar,2001,0,0,0,0,0,0,0,0,0,0,0
663,chandigarh,chandigarh,2001,0,1,0,0,0,0,0,2,0,0,3
664,d&n haveli,d and n haveli,2001,0,0,0,0,0,0,0,0,0,0,0
665,daman & diu,daman,2001,0,0,0,0,0,0,0,0,0,0,0
666,daman & diu,diu,2001,0,0,0,0,0,0,0,0,0,0,0
667,delhi,central,2001,0,0,0,0,0,0,0,1,0,0,1
668,delhi,east,2001,0,0,0,0,0,0,0,3,0,0,3
669,delhi,g.r.p.(rly),2001,0,0,0,0,0,0,0,0,0,0,0
670,delhi,i.g.i.airport,2001,0,0,0,0,0,0,0,0,0,0,0
671,delhi,new delhi,2001,0,0,0,0,0,0,0,1,0,0,1
672,delhi,north,2001,0,0,0,0,0,0,0,2,0,0,2
673,delhi,north east,2001,0,0,0,0,0,0,0,0,2,0,2
674,delhi,north west,2001,0,0,0,0,0,0,0,2,0,0,2
675,delhi,s.t.f.,2001,0,0,0,0,0,0,0,0,0,0,0
676,delhi,south,2001,0,0,0,0,0,0,0,4,0,0,4
677,delhi,south west,2001,0,0,0,0,0,0,0,4,0,0,4
678,delhi,west,2001,0,0,0,0,0,0,0,0,0,0,0
679,lakshadweep,lakshadweep,2001,0,0,0,0,0,0,0,0,0,0,0
680,puducherry,pondicherry,2001,0,0,0,0,0,0,0,0,13,0,13
681,andhra pradesh,adilabad,2002,0,2,0,0,0,0,2,0,16,18,38
682,andhra pradesh,anantapur,2002,0,3,0,0,0,1,32,25,0,51,112
683,andhra pradesh,chittoor,2002,1,5,0,0,0,0,22,27,1,40,96
684,andhra pradesh,cuddapah,2002,0,3,1,0,0,0,20,14,2,47,87
685,andhra pradesh,east godavari,2002,2,4,0,0,0,0,26,16,52,0,100
686,andhra pradesh,guntakal rly.,2002,0,0,0,0,0,0,0,0,0,0,0
687,andhra pradesh,guntur,2002,1,4,0,0,0,0,31,4,2,38,80
688,andhra pradesh,hyderabad city,2002,0,1,0,0,0,0,0,36,5,35,77
689,andhra pradesh,karimnagar,2002,12,9,5,0,0,0,111,80,11,292,520
690,andhra pradesh,khammam,2002,2,3,0,0,0,0,6,25,5,51,92
